rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_severity_max,congestion_severity_max,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,net_starvation_shortfall,net_congestion_shortfall
0.6042335,0.25932422,0.16059953,1.0,1.0,0.17910448,0.11940298,0.13951297,0.11086776,0.073773235,0.03860904
0.6132136,0.2612064,0.16728637,1.0,1.0,0.17910448,0.11940298,0.14371224,0.11409333,0.07468099,0.04156358
0.61449647,0.2641235,0.16657472,1.0,1.0,0.19402985,0.11940298,0.1499447,0.110345185,0.07547376,0.041598313
0.6221937,0.26703048,0.16981263,1.0,1.0,0.2238806,0.11940298,0.15172474,0.11477849,0.07806476,0.04172644
0.62347656,0.26784816,0.17160368,1.0,1.0,0.2238806,0.11940298,0.15464202,0.115997314,0.07828558,0.044673383
0.629891,0.26881838,0.1712967,1.0,1.0,0.20895523,0.11940298,0.15236108,0.117532134,0.07854678,0.044267613
0.63630533,0.27264544,0.17582914,1.0,1.0,0.20895523,0.13432837,0.15556583,0.11881145,0.08036512,0.048745226
0.6375882,0.27264544,0.17647219,1.0,1.0,0.20895523,0.13432837,0.15792991,0.11934393,0.08078984,0.048564196
0.6452854,0.27664202,0.17769833,1.0,1.0,0.20895523,0.13432837,0.1595297,0.119863786,0.08193407,0.04990571
0.64785117,0.27784628,0.17635135,1.0,1.0,0.2238806,0.13432837,0.16414927,0.1199606,0.08390411,0.04712319
0.6504169,0.27803612,0.17503305,1.0,1.0,0.2238806,0.13432837,0.16545789,0.11957277,0.08421526,0.046136875
0.62475944,0.25976813,0.17938432,1.0,1.0,0.2238806,0.13432837,0.16611531,0.12689438,0.08414633,0.048355963
0.5298268,0.24488702,0.16988358,1.0,1.0,0.20895523,0.11940298,0.25675943,0.13447024,0.12838857,0.0497746
0.52341247,0.24115273,0.15600315,1.0,0.92115384,0.19402985,0.104477614,0.26345456,0.12734832,0.12850665,0.04104082
0.5054522,0.2338851,0.15315801,1.0,0.92115384,0.20895523,0.08955224,0.27554983,0.12911685,0.1315046,0.040648144
0.49518922,0.23553939,0.1406755,1.0,0.9188811,0.19402985,0.07462686,0.27904505,0.1328645,0.13246511,0.035321653
0.49390635,0.23291357,0.12934947,1.0,0.8663462,0.19402985,0.04477612,0.27170467,0.12582052,0.11647871,0.032627452
0.49775496,0.22488028,0.13020843,1.0,0.8725,0.13432837,0.04477612,0.26769856,0.12647599,0.10980384,0.035356354
