episode,service_level,squared_starvation_penalty,squared_congestion_penalty,net_starvation_shortfall,net_congestion_shortfall,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
64,0.9420682187330807,-7.3362345773757065,-5.765096629497351,-1.5844642546339707,-1.0218275975325706,0.046419,0.1,0.136196,0.2,1167,759,1134,33246,38055,38050,0,0,0,0,3347,3356,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
65,0.9320797584526621,-7.387604547949841,-5.807805350384281,-1.6006207527078509,-1.03040839936081,0.046033,0.1,0.135381,0.2,1439,833,1290,33451,38055,38048,0,0,0,0,3446,3431,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
66,0.9378342647677423,-7.425299718839514,-5.8327137590084,-1.61690665181744,-1.0367435795588882,0.045654,0.1,0.134571,0.2,1315,754,1446,33282,37993,37986,0,0,0,0,3502,3507,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
67,0.9350014894250819,-7.472959923245725,-5.868709053753652,-1.6278852450933528,-1.042909438590635,0.045281,0.1,0.133765,0.2,1387,795,1364,33570,38437,38433,0,0,0,0,3472,3483,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
68,0.9377820279114245,-7.478608311266073,-5.8730944132934315,-1.6310220414903998,-1.0439501187360327,0.044914,0.1,0.132964,0.2,1331,751,1279,33463,38179,38177,0,0,0,0,3448,3448,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
69,0.9374773687386844,-7.506305647599805,-5.882694622726431,-1.6416934694622376,-1.0494617015918999,0.044554,0.1,0.132169,0.2,1344,728,1221,33140,37812,37808,0,0,0,0,3431,3430,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
70,0.9366857894107804,-7.546299564443532,-5.915887306238728,-1.651278238582802,-1.0555673253489937,0.044198,0.1,0.131377,0.2,1322,797,1328,33468,38127,38121,0,0,0,0,3481,3469,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
71,0.934464860995108,-7.586923324963566,-5.941780237900508,-1.65893536098623,-1.0641880632416667,0.043849,0.1,0.130591,0.2,1366,831,1254,33524,38248,38238,0,0,0,0,3459,3459,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
72,0.9408793820558526,-7.608075064832655,-5.951788899806292,-1.6666915812096013,-1.0670533032608964,0.043505,0.1,0.129809,0.2,1401,589,1331,33660,38455,38450,0,0,0,0,3475,3460,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
73,0.9361498700289821,-7.647151812301391,-5.984441815726506,-1.6742345498695694,-1.076970840547694,0.043166,0.1,0.129032,0.2,1342,795,1362,33469,38311,38305,0,0,0,0,3472,3490,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
74,0.9331135750674259,-7.692084335542477,-6.011390381736735,-1.6818161841725539,-1.0855240650305225,0.042833,0.1,0.12826,0.2,1397,835,1468,33370,38113,38107,0,0,0,0,3498,3494,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
75,0.9271320618927672,-7.742853169390194,-6.041157551650395,-1.6930310064270768,-1.0915831240210678,0.042504,0.1,0.127492,0.2,1482,948,1421,33348,38055,38051,0,0,0,0,3413,3408,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
76,0.9348774656306037,-7.778212407331857,-6.053677499203507,-1.7021514650857195,-1.0995551659730085,0.042181,0.1,0.126729,0.2,1304,875,1556,33460,38270,38268,0,0,0,0,3407,3396,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
77,0.9329516347747476,-7.7884856106332085,-6.070966212492169,-1.706986269761667,-1.1031083991422777,0.041862,0.1,0.125971,0.2,1438,787,1466,33185,38084,38078,0,0,0,0,3471,3471,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
78,0.9386941706218814,-7.805632553714401,-6.080913049306945,-1.7132627075068916,-1.1059781734904808,0.041549,0.1,0.125217,0.2,1335,680,1289,32868,37891,37883,0,0,0,0,3484,3499,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
79,0.9347761986200389,-7.844767927430282,-6.093831603192274,-1.7148292129589982,-1.110075045752919,0.04124,0.1,0.124467,0.2,1425,787,1206,33914,38577,38572,0,0,0,0,3470,3460,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
80,0.9348168863237438,-7.886584351033048,-6.12758675970597,-1.7280609521448542,-1.1189331139843905,0.040935,0.1,0.123722,0.2,1434,757,1184,33613,38231,38224,0,0,0,0,3507,3487,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
81,0.9384738195902197,-7.896881699280157,-6.13610783645484,-1.7335278359748352,-1.1220451410791776,0.040635,0.1,0.122982,0.2,1346,735,1233,33823,38630,38622,0,0,0,0,3380,3371,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
82,0.9354257396005407,-7.930290681727906,-6.154939330975035,-1.743832197383779,-1.1255094054324668,0.04034,0.1,0.122246,0.2,1400,750,1282,33295,38172,38165,0,0,0,0,3515,3532,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
83,0.9307846002445352,-7.9669918228171,-6.179601241886206,-1.7554837556667486,-1.1355620310951064,0.040048,0.1,0.121514,0.2,1449,872,1344,33533,38344,38340,0,0,0,0,3496,3512,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
84,0.9429308689390302,-7.984709347116817,-6.188906825015689,-1.7586793536892904,-1.1369699550875876,0.039761,0.1,0.120787,0.2,1257,645,955,33328,38296,38290,0,0,0,0,3471,3480,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
85,0.9389973646382367,-8.016351045320867,-6.202801967411934,-1.7671636063959688,-1.1417068471614986,0.039478,0.1,0.120064,0.2,1418,619,1364,33392,38050,38045,0,0,0,0,3396,3388,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
86,0.9344168547780286,-8.052976027150846,-6.228876847284116,-1.7749677333743001,-1.1464450446909775,0.039199,0.1,0.119345,0.2,1426,753,1387,33225,37820,37815,0,0,0,0,3455,3452,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
87,0.9378979944057608,-8.073314218059398,-6.238549386680063,-1.780470466961086,-1.1487782764869956,0.038924,0.1,0.118631,0.2,1315,772,1457,33606,38444,38435,0,0,0,0,3381,3384,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
88,0.9360559811787417,-8.070040249849495,-6.240703086627927,-1.7796382067581693,-1.1474190006569656,0.038652,0.1,0.117921,0.2,1377,743,1243,33154,37612,37606,0,0,0,0,3505,3499,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
89,0.9415744527303344,-8.087388590807054,-6.250839951717779,-1.7891288630277318,-1.1484458079664248,0.038385,0.1,0.117215,0.2,1400,543,1253,33256,37935,37932,0,0,0,0,3493,3493,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
90,0.9364041694282099,-8.11991960422256,-6.275906986394021,-1.8005608745044837,-1.1547214526792373,0.038121,0.1,0.116513,0.2,1420,691,1236,33194,37877,37874,0,0,0,0,3543,3556,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
91,0.9333133792277761,-8.156506153834126,-6.303597124853487,-1.8103993039089301,-1.1592225431281906,0.03786,0.1,0.115816,0.2,1360,868,1246,33410,37972,37967,0,0,0,0,3513,3531,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
92,0.9411747220735984,-8.184846842447095,-6.328579840030753,-1.814405436532175,-1.1641388194933913,0.037604,0.1,0.115123,0.2,1254,725,1471,33642,38522,38514,0,0,0,0,3433,3438,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
93,0.9361194930597465,-8.21984567457254,-6.352635603734493,-1.8214807469302,-1.170106194058266,0.03735,0.1,0.114434,0.2,1333,784,1284,33140,37923,37915,0,0,0,0,3395,3400,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
94,0.9372744767861438,-8.242281646728445,-6.366648869254649,-1.8204177306427698,-1.172301559173101,0.0371,0.1,0.113749,0.2,1271,815,1196,33256,38099,38097,0,0,0,0,3511,3510,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
