episode,mean_loss,lr,tau,polyak,service_level,buffer_size,n_updates,elapsed_s,mean_value_spread,mean_reward,pct_zero_reward,fallback_rate,reward_norm_std,pct_idx0,mean_chosen_idx,pct_maintenance,greedy_sl
150,0.846996,0.000823,0.4069,0.0005,0.9046,50000,400,38233.7,1.662117,-2.83113,0.0,0.0,3.5701,2.4,24.52,8.7,0.8694
151,0.858447,0.000822,0.4063,0.0005,0.8992,50000,400,38455.6,1.819497,-3.00357,0.0,0.0,3.4359,2.8,22.88,8.8,
152,0.827544,0.00082,0.4057,0.0005,0.8919,50000,400,38681.7,1.729967,-3.21203,0.0,0.0,3.9539,2.3,23.19,7.1,
153,0.870354,0.000819,0.4051,0.0005,0.9035,50000,400,38913.2,1.750685,-2.90087,0.0,0.0,3.4748,3.3,23.28,8.6,
154,0.836478,0.000818,0.4044,0.0005,0.8951,50000,400,39135.8,1.703593,-3.10929,0.0,0.0,3.763,2.4,23.32,8.0,
155,0.905581,0.000817,0.4038,0.0005,0.9037,50000,400,39363.7,1.801046,-2.93239,0.0,0.0,3.2222,2.9,23.56,9.1,
156,0.881804,0.000816,0.4032,0.0005,0.9002,50000,400,39596.7,1.782497,-2.80063,0.0,0.0,3.3519,3.0,22.36,7.8,
157,0.828499,0.000815,0.4026,0.0005,0.9061,50000,400,39822.0,1.705255,-2.77062,0.0,0.0,4.0522,2.3,22.84,9.3,
158,0.869876,0.000813,0.4019,0.0005,0.8956,50000,400,40045.6,1.773953,-3.15199,0.0,0.0,3.4906,2.4,23.44,8.8,
159,0.866454,0.000812,0.4013,0.0005,0.8983,50000,400,40275.0,1.912726,-3.09744,0.0,0.0,3.7612,2.7,23.27,8.9,
160,0.901473,0.000811,0.4007,0.0005,0.9047,50000,400,40689.0,1.846088,-2.89368,0.0,0.0,3.3964,3.4,23.9,9.1,0.8682
161,0.843697,0.00081,0.4001,0.0005,0.8899,50000,400,40915.2,1.860974,-3.19166,0.0,0.0,3.9186,2.2,22.57,8.1,
162,1.00326,0.000809,0.3995,0.0005,0.9056,50000,400,41144.8,1.908632,-2.87969,0.0,0.0,2.8019,2.7,23.82,8.5,
163,0.856286,0.000807,0.3988,0.0005,0.8948,50000,400,41372.3,1.792045,-2.90153,0.0,0.0,3.6394,2.7,22.35,8.6,
164,0.859469,0.000806,0.3982,0.0005,0.9005,50000,400,41600.4,1.783924,-2.98091,0.0,0.0,3.6061,2.7,23.64,8.7,
165,0.837771,0.000805,0.3976,0.0005,0.9021,50000,400,41827.0,1.787328,-2.94477,0.0,0.0,4.0088,2.2,23.36,8.0,
166,0.827651,0.000804,0.397,0.0005,0.9036,50000,400,42043.4,1.566289,-2.89933,0.0,0.0,4.2832,1.8,22.22,8.2,
167,0.938239,0.000803,0.3963,0.0005,0.9098,50000,400,42262.5,1.607676,-2.63837,0.0,0.0,3.0582,2.0,22.63,8.5,
168,0.889119,0.000801,0.3957,0.0005,0.9012,50000,400,42483.0,1.782657,-2.78226,0.0,0.0,3.361,3.2,21.73,7.1,
169,0.887305,0.0008,0.3951,0.0005,0.9038,50000,400,42709.4,1.864678,-2.79579,0.0,0.0,3.5072,2.1,24.08,8.7,
170,0.827974,0.000799,0.3945,0.0005,0.8836,50000,400,43188.4,1.651409,-3.37796,0.0,0.0,4.1196,1.8,23.64,8.1,0.8802
171,0.865123,0.000798,0.3938,0.0005,0.9023,50000,400,43413.7,1.785504,-2.85999,0.0,0.0,3.9632,2.8,24.06,9.1,
172,0.933319,0.000797,0.3932,0.0005,0.9054,50000,400,43631.8,1.583393,-2.90098,0.0,0.0,3.3253,2.5,22.83,7.9,
173,0.865532,0.000795,0.3926,0.0005,0.906,50000,400,43852.1,1.671285,-2.76947,0.0,0.0,3.5343,1.4,22.57,7.3,
174,0.93751,0.000794,0.392,0.0005,0.9025,50000,400,44070.6,1.69591,-2.91724,0.0,0.0,3.2494,3.2,23.35,7.9,
175,0.904872,0.000793,0.3913,0.0005,0.9025,50000,400,44307.8,1.91992,-2.75197,0.0,0.0,3.5252,2.0,23.86,7.3,
176,0.843348,0.000792,0.3907,0.0005,0.8988,50000,400,44555.1,1.979441,-2.82029,0.0,0.0,3.8959,3.3,22.34,7.4,
177,0.898947,0.000791,0.3901,0.0005,0.9049,50000,400,44795.4,1.742074,-2.78415,0.0,0.0,3.4182,2.9,23.08,8.7,
178,0.846513,0.00079,0.3895,0.0005,0.899,50000,400,45024.7,1.711057,-2.81353,0.0,0.0,3.9229,2.6,21.94,7.0,
179,0.840215,0.000788,0.3888,0.0005,0.8938,50000,400,45272.8,1.716945,-3.21629,0.0,0.0,4.0984,2.3,24.11,8.1,
180,0.835534,0.000787,0.3882,0.0005,0.8922,50000,400,45762.3,1.712443,-3.18698,0.0,0.0,4.364,1.9,23.34,8.0,0.8949
