episode,service_level,rebalancing_imbalance,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
77,0.9363122138089965,-4.946389214495306,0.041862,0.1,0.125971,0.2,1408,720,1495,33413,38342,38332,0,0,0,0,4109,4109,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
78,0.943256430335522,-4.926602618659083,0.041549,0.1,0.125217,0.2,1287,597,1545,33202,38273,38267,0,0,0,0,4050,4048,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
79,0.9390135327635327,-4.940502489759918,0.04124,0.1,0.124467,0.2,1388,667,1402,33696,38396,38391,0,0,0,0,4037,4022,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
80,0.9371150729335495,-4.968868127609744,0.040935,0.1,0.123722,0.2,1398,736,1340,33935,38589,38577,0,0,0,0,4058,4049,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
81,0.9429361714921379,-4.9696672650507825,0.040635,0.1,0.122982,0.2,1221,677,1388,33261,38193,38187,0,0,0,0,4038,4044,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
82,0.9429115415999275,-4.920331595399862,0.04034,0.1,0.122246,0.2,1259,630,1416,33089,38107,38101,0,0,0,0,3982,3979,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
83,0.9395796050835633,-4.96276767480132,0.040048,0.1,0.121514,0.2,1233,759,1321,32969,37996,37988,0,0,0,0,4140,4138,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
84,0.9428854704963345,-4.947258820909496,0.039761,0.1,0.120787,0.2,1181,720,1215,33284,38328,38320,0,0,0,0,4068,4077,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
85,0.9372371305017475,-4.961411637746333,0.039478,0.1,0.120064,0.2,1391,728,1514,33762,38447,38442,0,0,0,0,3965,3955,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
86,0.9408774185830916,-4.941588200863664,0.039199,0.1,0.119345,0.2,1328,649,1410,33439,38132,38127,0,0,0,0,3909,3912,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
87,0.934118987645436,-5.005728000318241,0.038924,0.1,0.118631,0.2,1334,863,1559,33348,38167,38158,0,0,0,0,4052,4057,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
