episode,service_level,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
59,0.9340232858990944,-3.2120693132732856,-2.6330980710986567,-3.8930946779983624,-4.21318938314865,0.048447,0.1,0.140346,0.2,1389,804,1315,33239,37939,37930,0,0,0,0,3330,3339,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
60,0.9357556135144047,-3.2201853398216786,-2.6543245710760672,-3.9183561722761544,-4.24558630338001,0.048027,0.1,0.139506,0.2,1480,663,1122,33357,38105,38098,0,0,0,0,3271,3272,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
61,0.9289511557552794,-3.2452167079756946,-2.664009625592707,-3.9470887339116993,-4.284023679692836,0.047615,0.1,0.138671,0.2,1629,790,1282,34047,38350,38345,0,0,0,0,3354,3349,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
62,0.9245859796996498,-3.2639920452612077,-2.6826099083153885,-4.000868597885472,-4.337224583421581,0.047209,0.1,0.137841,0.2,1700,841,1378,33694,38116,38115,0,0,0,0,3382,3402,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
63,0.9408634659571895,-3.2553293006328734,-2.680788656556602,-4.014046733897926,-4.343125872838979,0.046811,0.1,0.137016,0.2,1329,627,1227,33076,37920,37911,0,0,0,0,3211,3226,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
64,0.9375187204217337,-3.259041038710752,-2.6863339721376858,-4.010144704332805,-4.363354645428519,0.046419,0.1,0.136196,0.2,1386,700,1189,33386,37976,37966,0,0,0,0,3317,3331,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
65,0.9325647552028746,-3.259194445746512,-2.6999274587106044,-4.016046510776911,-4.377176968640561,0.046033,0.1,0.135381,0.2,1650,602,1177,33395,37788,37781,0,0,0,0,3264,3255,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
66,0.9236732259988074,-3.2644433138817934,-2.716109517660515,-4.05757785515161,-4.420421546725955,0.045654,0.1,0.134571,0.2,1756,804,1338,33540,37810,37802,0,0,0,0,3331,3324,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
67,0.939600119367353,-3.258257165352752,-2.713509036938137,-4.0420115624717745,-4.421036691516882,0.045281,0.1,0.133765,0.2,1307,717,1303,33510,38457,38451,0,0,0,0,3226,3236,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
68,0.9301232597321982,-3.275412348907047,-2.724519651372053,-4.088143445973731,-4.454179015804435,0.044914,0.1,0.132964,0.2,1690,674,1358,33831,38188,38178,0,0,0,0,3282,3282,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
69,0.928362223550508,-3.295798477331031,-2.7436127017702265,-4.123441509408575,-4.4858991314489876,0.044554,0.1,0.132169,0.2,1586,811,1348,33460,37890,37885,0,0,0,0,3381,3387,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
70,0.9291260976046831,-3.3105484883041734,-2.7619788773040903,-4.132883186656731,-4.494896089755341,0.044198,0.1,0.131377,0.2,1556,817,1113,33482,37907,37902,0,0,0,0,3313,3301,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
