rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,exponential_starvation_penalty,exponential_congestion_penalty,starvation_severity_max,congestion_severity_max,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,net_starvation_shortfall,net_congestion_shortfall,time_remaining_fraction,functional_bikes_time_penalty,reachable_imbalance_fraction,recoverable_imbalance_fraction,imbalance_hotspot_distance,destination_starv_ratio,destination_cong_ratio,destination_travel_penalty,destination_roi_starvation,cur_station_func_deficit,functional_load_late_pressure,non_depot_late_load_pressure
0.62475944,0.20598204,0.15297207,0.18772198,0.13479525,1.0,0.8875,0.13432837,0.04477612,0.07360874,0.0895301,0.03465287,0.03456128,1.0,0.0,1.0,0.04106776,0.13663131,0.0,0.89285713,0.003920783,0.0,0.0,0.012416555,0.012416555
0.6427197,0.19715919,0.15325192,0.17792696,0.13467984,1.0,0.95625,0.11940298,0.07462686,0.065897614,0.07390102,0.028604195,0.027985293,1.0,0.0,1.0,0.03992016,0.3188117,0.0,0.0,0.009452142,0.0,0.0,0.0,0.0
0.64015394,0.202926,0.14738442,0.1821922,0.12705229,1.0,0.90865386,0.11940298,0.05970149,0.07136449,0.05705067,0.027736964,0.021404503,1.0,0.0,1.0,0.04008016,0.19806376,0.0,0.0,0.0070644757,0.0,0.0,0.060141586,0.060141586
0.5388069,0.19627622,0.13317357,0.18068832,0.120081656,1.0,0.95325,0.13432837,0.07462686,0.110449985,0.058922138,0.058904845,0.022433244,1.0,0.0,1.0,0.045238096,0.15134762,0.0,0.96,0.003634929,0.0,0.13333334,0.08115458,0.085425876
0.56574726,0.20209749,0.1683767,0.18963876,0.1510922,1.0,0.988,0.13432837,0.08955224,0.11767712,0.07360059,0.06361474,0.02593724,1.0,0.0,1.0,0.0430839,0.063576885,0.23333333,0.0,0.004328518,0.23333333,0.0,0.0,0.004701174
0.5606158,0.19566506,0.16300952,0.18327661,0.14716771,1.0,1.0,0.13432837,0.08955224,0.11584299,0.07392326,0.06127663,0.021668447,1.0,0.0,1.0,0.04347826,0.31989297,1.0,0.0,0.0026351912,1.0,0.20930232,0.0,0.005580099
0.5426555,0.19588743,0.15750979,0.18142182,0.14040336,1.0,0.98125,0.11940298,0.07462686,0.10993037,0.07649606,0.05808336,0.022695763,1.0,0.0,1.0,0.04491726,0.15112486,0.0,0.24,0.0069577266,0.0,0.6923077,0.11618097,0.12229576
0.57344455,0.17821752,0.17847922,0.16702506,0.15769657,1.0,0.98125,0.11940298,0.08955224,0.12758219,0.08229266,0.06269392,0.024390716,1.0,0.0,1.0,0.042505592,0.016411435,0.0,0.9375,0.009782432,0.0,0.027777778,0.13983108,0.14719062
0.59140474,0.1956418,0.18667331,0.18059748,0.16776434,1.0,1.0,0.13432837,0.104477614,0.15279861,0.09172028,0.077349775,0.026917448,1.0,0.0,1.0,0.04121475,0.37811086,0.0,0.9130435,0.00976392,0.0,0.0,0.15271914,0.16075699
0.5978191,0.19801807,0.1830875,0.18411523,0.16232447,1.0,0.9348214,0.14925373,0.104477614,0.15757616,0.088610254,0.08069824,0.02330915,1.0,0.0,1.0,0.04077253,0.42099258,0.0,1.0,0.0033455421,0.0,0.0,0.15936548,0.16775313
0.6003849,0.19618979,0.18498741,0.1816533,0.16433409,1.0,0.9348214,0.13432837,0.104477614,0.16177806,0.09139624,0.081407994,0.022910053,1.0,0.0,1.0,0.040598292,0.30775774,0.0,1.0,0.009594532,0.0,0.0,0.1720888,0.18114612
0.6221937,0.19754684,0.19620617,0.1807584,0.17620184,1.0,1.0,0.104477614,0.104477614,0.1675258,0.09429297,0.08133114,0.024343085,1.0,0.0,1.0,0.039175257,0.35625473,0.0,0.9130435,0.009790953,0.0,0.0,0.18500316,0.19474016
0.63117385,0.20045957,0.19846466,0.18770513,0.17662644,1.0,0.98125,0.13432837,0.104477614,0.17131847,0.09703166,0.084819205,0.025153225,1.0,0.0,1.0,0.038617887,0.43997163,0.0,1.0,0.0033455421,0.0,0.0,0.19164948,0.2017363
0.5978191,0.20994096,0.19365487,0.1959048,0.17390803,1.0,1.0,0.14925373,0.08955224,0.15993749,0.10012004,0.059800368,0.02739208,1.0,0.0,1.0,0.04077253,0.20255433,0.0,1.0,0.009594532,0.0,0.0,0.20437281,0.21512929
0.60679924,0.21054216,0.19598447,0.19525965,0.17508952,1.0,1.0,0.14925373,0.104477614,0.16370685,0.10147052,0.06247461,0.025477555,1.0,0.0,1.0,0.040169135,0.017997496,0.0,0.9411765,0.0014113698,0.0,0.0,0.2091382,0.22014548
