Seed,Day,Hour,Time (minutes),Station ID,Total Bikes,Usable Bikes,Unusable Bikes,Avg Maintenance Criticality,Capacity
1,0,12,720,S57,10,10,0,0.4968,25
1,0,12,720,S58,20,20,0,0.4741,30
1,0,12,720,S59,23,23,0,0.4443,37
1,0,12,720,S60,14,12,2,0.4695,31
1,0,12,720,S61,8,8,0,0.5535,16
1,0,12,720,S62,16,16,0,0.4776,26
1,0,12,720,S63,28,28,0,0.3804,28
1,0,12,720,S64,11,11,0,0.5042,13
1,0,12,720,S65,5,5,0,0.5736,25
1,0,12,720,S66,19,19,0,0.4798,24
1,0,13,780,S0,12,12,0,0.227,21
1,0,13,780,S1,0,0,0,0.0,15
1,0,13,780,S2,9,9,0,0.4783,24
1,0,13,780,S3,14,14,0,0.4371,18
1,0,13,780,S4,10,10,0,0.5089,18
1,0,13,780,S5,11,11,0,0.4487,24
1,0,13,780,S6,13,13,0,0.4092,21
1,0,13,780,S7,2,2,0,0.5544,26
1,0,13,780,S8,13,13,0,0.4313,22
1,0,13,780,S9,6,6,0,0.4435,12
1,0,13,780,S10,0,0,0,0.0,18
1,0,13,780,S11,1,0,1,0.9492,17
1,0,13,780,S12,9,8,1,0.4842,24
1,0,13,780,S13,16,16,0,0.4382,29
1,0,13,780,S14,8,8,0,0.4768,13
1,0,13,780,S15,0,0,0,0.0,27
1,0,13,780,S16,6,6,0,0.5751,15
1,0,13,780,S17,9,8,1,0.4728,25
1,0,13,780,S18,19,18,1,0.4819,24
1,0,13,780,S19,6,6,0,0.4489,13
1,0,13,780,S20,8,8,0,0.495,18
1,0,13,780,S21,2,2,0,0.3421,12
1,0,13,780,S22,6,6,0,0.3418,24
1,0,13,780,S23,10,10,0,0.3243,15
1,0,13,780,S24,8,8,0,0.572,24
1,0,13,780,S25,7,7,0,0.3502,24
1,0,13,780,S26,6,6,0,0.4162,32
1,0,13,780,S27,19,19,0,0.4556,26
1,0,13,780,S28,13,13,0,0.4274,30
1,0,13,780,S29,9,8,1,0.4986,30
1,0,13,780,S30,3,3,0,0.5703,15
1,0,13,780,S31,20,20,0,0.4644,43
1,0,13,780,S32,11,11,0,0.3849,24
1,0,13,780,S33,23,23,0,0.514,27
1,0,13,780,S34,0,0,0,0.0,25
